"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","bee_rich"
"1","STM",69,1,"69_1","MA",6,8,3,0,0,0,NA
"2","STM",69,2,"69_2","SFold",31,36,19,7,50,54,NA
"3","STM",69,3,"69_3","PA",18,14,6,0,0,0,NA
"4","STM",69,4,"69_4","PA",40,45,8,0,0,2,NA
"5","STM",69,5,"69_5","SHA",36,26,12,0,1,0,NA
"6","STM",69,6,"69_6","SFyoung",31,41,26,5,45,24,NA
"7","STM",69,7,"69_7","PA",25,22,9,0,0,0,NA
"8","STM",69,8,"69_8","LF",25,60,14,10,52,51,NA
"9","STM",69,9,"69_9","REF",30,16,8,0,2,0,NA
"10","STM",69,10,"69_10","SFold",24,32,13,16,51,46,NA
"11","STM",69,11,"69_11","LBF",28,27,26,16,54,47,NA
"12","STM",81,1,"81_1","FRU",12,20,15,0,0,0,NA
"13","STM",81,2,"81_2","LBF",20,40,20,6,53,43,NA
"14","STM",81,3,"81_3","LBF",18,44,12,16,76,66,NA
"15","STM",81,6,"81_6","MA",9,22,12,0,0,0,NA
"16","STM",81,7,"81_7","SFold",23,32,10,17,50,43,NA
"17","STM",81,8,"81_8","PA",19,24,5,0,0,0,NA
"18","STM",81,9,"81_9","LBF",25,47,17,7,47,63,NA
"19","STM",81,10,"81_10","PA",26,19,9,0,0,0,NA
"20","STM",81,11,"81_11","SFold",22,47,14,14,59,51,NA
"21","STM",81,15,"81_15","LF",13,43,24,8,42,65,NA
"22","STM",99,2,"99_2","FRU",24,21,13,0,0,0,NA
"23","STM",99,3,"99_3","PA",18,31,5,0,3,0,NA
"24","STM",99,4,"99_4","SFyoung",20,14,15,2,36,25,NA
"25","STM",99,5,"99_5","PA",30,27,13,0,0,0,NA
"26","STM",99,6,"99_6","SFold",23,26,18,6,48,38,NA
"27","STM",99,7,"99_7","SFold",20,21,17,4,42,39,NA
"28","STM",99,8,"99_8","SFyoung",21,30,17,8,49,36,NA
"29","STM",99,9,"99_9","PA",27,26,8,0,0,0,NA
"30","STM",99,10,"99_10","SFyoung",20,36,16,14,53,35,NA
"31","STM",99,11,"99_11","SFyoung",35,42,15,0,22,0,NA
"32","STM",103,1,"103_1","AP",26,38,13,3,22,19,NA
"33","STM",103,2,"103_2","SFyoung",23,17,21,12,60,22,NA
"34","STM",103,3,"103_3","SFold",35,45,23,7,44,38,NA
"35","STM",103,4,"103_4","PA",32,30,11,0,0,0,NA
"36","STM",103,5,"103_5","SFyoung",26,37,12,8,31,23,NA
"37","STM",103,8,"103_8","SFold",37,50,21,5,59,43,NA
"38","STM",103,9,"103_9","SFyoung",41,31,11,1,8,0,NA
"39","STM",112,1,"112_1","MA",10,9,7,0,0,0,NA
"40","STM",112,2,"112_2","FRU",31,44,11,0,6,2,NA
"41","STM",112,3,"112_3","SFold",22,50,18,16,56,37,NA
"42","STM",112,4,"112_4","SFyoung",30,36,10,1,16,1,NA
"43","STM",112,5,"112_5","PA",14,10,5,0,0,0,NA
"44","STM",112,7,"112_7","PA",16,31,8,0,0,0,NA
"45","STM",112,8,"112_8","LF",23,44,21,15,70,83,NA
"46","STM",112,9,"112_9","FRU",32,32,12,0,3,1,NA
"47","STM",112,11,"112_11","MA",0,8,7,0,0,0,NA
"48","STM",112,12,"112_12","LF",23,62,20,8,43,60,NA
"49","STM",125,2,"125_2","MA",16,12,8,0,0,0,NA
"50","STM",125,3,"125_3","PA",30,34,9,0,0,0,NA
"51","STM",125,5,"125_5","SFyoung",22,43,23,10,40,23,NA
"52","STM",125,6,"125_6","SFold",14,25,26,9,62,28,NA
"53","STM",125,8,"125_8","MA",10,7,7,0,0,0,NA
"54","STM",125,9,"125_9","LF",16,39,19,16,77,71,NA
"55","STM",125,10,"125_10","BF",19,46,24,6,50,66,NA
"56","STM",125,12,"125_12","MA",8,6,4,0,0,0,NA
"57","STM",129,5,"129_5","LBF",22,48,30,17,47,50,NA
"58","STM",129,7,"129_7","PA",22,11,14,0,0,0,NA
"59","STM",129,8,"129_8","PA",16,21,16,0,0,0,NA
"60","STM",129,9,"129_9","MA",12,10,12,0,0,0,NA
"61","STM",129,10,"129_10","LBF",26,32,21,7,46,31,NA
"62","STM",129,11,"129_11","SFold",30,32,23,4,47,27,NA
"63","STM",129,12,"129_12","MA",6,6,9,0,0,0,NA
"64","STM",157,1,"157_1","SFold",32,52,16,14,61,70,NA
"65","STM",157,2,"157_2","LBF",28,41,19,13,88,68,NA
"66","STM",157,3,"157_3","LBF",19,47,20,19,70,79,NA
"67","STM",157,4,"157_4","LF",31,53,23,10,52,58,NA
"68","STM",157,5,"157_5","LF",28,47,26,13,94,72,NA
"69","STM",157,6,"157_6","LF",26,20,19,18,62,62,NA
"70","STM",157,7,"157_7","PA",33,30,4,0,0,1,NA
"71","STM",157,8,"157_8","SFold",21,55,19,5,50,54,NA
"72","STM",157,11,"157_11","SHA",19,43,16,0,2,0,NA
"73","STM",160,5,"160_5","SFold",19,44,26,4,50,28,NA
"74","STM",160,8,"160_8","SFold",20,48,24,5,33,41,NA
"75","STM",160,10,"160_10","LF",17,38,35,8,31,63,NA
"76","STM",160,11,"160_11","SFold",14,26,22,9,54,31,NA
"77","STM",160,12,"160_12","MA",4,8,6,0,0,0,NA
"78","STM",165,1,"165_1","LBF",20,36,10,10,47,31,NA
"79","STM",165,2,"165_2","BF",29,68,26,6,44,59,NA
"80","STM",165,3,"165_3","BF",22,66,31,13,65,56,NA
"81","STM",165,4,"165_4","LBF",26,48,20,14,48,52,NA
"82","STM",165,5,"165_5","LBF",25,45,15,9,52,55,NA
"83","STM",165,6,"165_6","BF",19,53,26,8,40,52,NA
"84","STM",165,7,"165_7","LBF",24,49,25,16,63,48,NA
"85","STM",199,1,"199_1","MA",19,30,14,0,0,0,NA
"86","STM",199,2,"199_2","MA",18,9,11,0,0,0,NA
"87","STM",199,3,"199_3","LBF",35,54,26,8,56,67,NA
"88","STM",199,4,"199_4","SFyoung",19,35,11,0,7,2,NA
"89","STM",199,5,"199_5","PA",22,38,11,0,0,1,NA
"90","STM",199,6,"199_6","SFold",27,44,20,11,41,39,NA
"91","STM",199,8,"199_8","PA",14,40,13,0,1,0,NA
"92","STM",199,9,"199_9","SFold",28,46,22,12,55,40,NA
"93","STM",236,1,"236_1","MA",15,13,7,0,0,0,NA
"94","STM",236,2,"236_2","LBF",27,49,24,6,51,40,NA
"95","STM",236,3,"236_3","LBF",41,53,25,10,52,60,NA
"96","STM",236,4,"236_4","SFyoung",26,32,11,2,45,11,NA
"97","STM",236,5,"236_5","LF",41,34,28,16,46,71,NA
"98","STM",236,6,"236_6","LF",42,53,25,11,52,62,NA
"99","STM",236,7,"236_7","LF",37,60,23,8,49,64,NA
"100","STM",236,8,"236_8","PA",11,26,9,0,0,0,NA
"101","STM",236,9,"236_9","PA",19,37,8,0,0,0,NA
"102","STM",260,1,"260_1","LF",23,58,21,16,85,74,NA
"103","STM",260,2,"260_2","SFold",24,63,27,11,48,48,NA
"104","STM",260,3,"260_3","LBF",24,43,30,10,52,53,NA
"105","STM",260,4,"260_4","LF",22,55,34,22,59,71,NA
"106","STM",260,5,"260_5","LBF",32,43,25,6,51,50,NA
"107","STM",260,6,"260_6","LF",21,49,30,13,65,73,NA
"108","STM",260,7,"260_7","MA",31,9,15,0,0,0,NA
"109","STM",260,10,"260_10","MA",42,2,7,0,0,0,NA
"110","STM",261,1,"261_1","LF",10,34,13,17,71,79,NA
"111","STM",261,2,"261_2","LF",18,47,15,11,68,84,NA
"112","STM",261,3,"261_3","LF",9,34,33,15,58,68,NA
"113","STM",261,4,"261_4","LF",16,54,20,14,57,68,NA
"114","STM",261,5,"261_5","LF",18,49,27,9,71,64,NA
"115","STM",261,6,"261_6","LF",15,49,19,9,74,73,NA
"116","STM",261,7,"261_7","LF",37,50,22,12,43,69,NA
"117","STM",261,8,"261_8","UF",15,53,20,19,64,72,NA
"118","STM",261,9,"261_9","UF",16,43,23,15,66,81,NA
"119","STM",261,10,"261_10","UF",18,52,23,10,66,60,NA
"120","STM",261,11,"261_11","UF",13,42,19,7,50,62,NA
"121","STM",261,12,"261_12","LF",22,56,19,2,52,65,NA
"122","STM",307,1,"307_1","LBF",25,57,19,20,88,79,NA
"123","STM",307,3,"307_3","LBF",27,36,16,2,49,45,NA
"124","STM",307,6,"307_6","AP",16,25,9,6,50,31,NA
"125","STM",307,7,"307_7","LBF",26,52,13,6,72,55,NA
"126","STM",307,9,"307_9","SFyoung",8,48,10,0,21,4,NA
"127","STM",307,10,"307_10","REF",22,41,7,0,6,1,NA
"128","STM",357,2,"357_2","LBF",19,64,30,3,47,50,NA
"129","STM",357,3,"357_3","SFold",17,43,24,6,32,25,NA
"130","STM",357,4,"357_4","SFyoung",20,40,9,6,18,13,NA
"131","STM",357,5,"357_5","BF",15,57,33,19,91,72,NA
"132","STM",357,7,"357_7","PA",26,26,7,0,0,0,NA
"133","STM",357,8,"357_8","PA",26,18,14,0,0,0,NA
"134","STM",357,10,"357_10","MA",8,7,3,0,0,0,NA
"135","STM",357,11,"357_11","PA",26,16,11,0,0,0,NA
"136","STM",363,1,"363_1","BF",14,36,23,7,66,72,NA
"137","STM",363,2,"363_2","BF",30,43,27,13,71,69,NA
"138","STM",363,3,"363_3","UF",30,49,23,19,71,70,NA
"139","STM",363,4,"363_4","UF",19,41,32,21,60,68,NA
"140","STM",363,5,"363_5","UF",36,53,23,16,65,75,NA
"141","STM",363,6,"363_6","UF",31,70,36,17,60,62,NA
"142","STM",363,7,"363_7","UF",22,60,29,8,67,60,NA
"143","STM",363,8,"363_8","UF",21,46,37,3,46,63,NA
"144","STM",399,3,"399_3","UF",15,55,28,3,38,41,NA
"145","STM",399,5,"399_5","LBF",15,58,30,16,72,68,NA
"146","STM",399,6,"399_6","LF",12,52,19,11,80,81,NA
"147","STM",399,7,"399_7","LF",20,30,27,10,43,60,NA
"148","STM",399,8,"399_8","SFyoung",21,47,31,13,51,25,NA
"149","STM",399,9,"399_9","UF",21,52,35,6,34,55,NA
"150","STM",399,10,"399_10","LBF",19,47,26,15,75,48,NA
"151","STM",399,11,"399_11","SHA",12,30,14,0,3,0,NA
"152","STM",399,12,"399_12","SFyoung",16,23,6,6,21,3,NA
"153","STM",399,13,"399_13","PA",32,29,15,0,4,1,NA
"154","STM",103,7,"103_7","AP",NA,45,16,5,24,31,NA
"155","STM",357,6,"357_6","SFyoung",NA,54,21,8,38,20,NA
"156","STM",357,9,"357_9","SFyoung",NA,38,23,8,40,24,NA
"157","PGM",100,10,"100_10","SFyoung",24,44,16,4,23,3,10
"158","PGM",100,2,"100_2","SFyoung",13,31,11,6,27,3,12
"159","PGM",100,3,"100_3","LBF",20,61,19,2,26,47,13
"160","PGM",100,5,"100_5","LF",23,49,16,11,72,65,9
"161","PGM",100,6,"100_6","LBF",25,49,16,0,19,55,13
"162","PGM",100,9,"100_9","LBF",19,38,17,1,19,16,14
"163","PGM",142,1,"142_1","LF",23,38,26,19,79,46,5
"164","PGM",142,11,"142_11","PA",11,24,9,0,5,0,9
"165","PGM",142,12,"142_12","LBF",18,35,17,18,63,55,6
"166","PGM",142,13,"142_13","SFyoung",24,26,16,5,22,25,3
"167","PGM",142,3,"142_3","LF",18,52,29,18,75,69,3
"168","PGM",142,4,"142_4","LBF",26,61,20,10,79,50,4
"169","PGM",142,5,"142_5","LF",18,20,29,25,63,55,2
"170","PGM",142,6,"142_6","LBF",30,35,20,26,48,49,1
"171","PGM",142,7,"142_7","PA",25,25,12,1,5,0,1
"172","PGM",142,8,"142_8","PA",16,31,9,0,0,0,6
"173","PGM",142,9,"142_9","PA",10,30,7,0,5,0,5
"174","PGM",147,1,"147_1","LF",27,55,15,13,73,64,5
"175","PGM",147,11,"147_11","LF",22,55,19,11,57,54,4
"176","PGM",147,12,"147_12","PA",19,52,11,0,0,0,6
"177","PGM",147,13,"147_13","SFyoung",20,35,10,0,2,2,12
"178","PGM",147,2,"147_2","LBF",30,49,16,14,65,57,5
"179","PGM",147,3,"147_3","LBF",29,56,9,11,80,56,2
"180","PGM",147,4,"147_4","SFyoung",32,50,12,15,31,34,7
"181","PGM",147,5,"147_5","LF",31,62,12,12,57,69,5
"182","PGM",147,7,"147_7","LF",27,60,13,19,84,64,4
"183","PGM",147,8,"147_8","LF",28,60,19,17,64,72,7
"184","PGM",152,1,"152_1","SFold",18,45,4,7,21,11,6
"185","PGM",152,10,"152_10","PA",19,38,8,0,0,1,6
"186","PGM",152,11,"152_11","PA",12,45,11,0,1,2,8
"187","PGM",152,12,"152_12","PA",11,35,5,0,0,0,3
"188","PGM",152,2,"152_2","SFyoung",24,37,10,8,28,18,11
"189","PGM",152,3,"152_3","SFyoung",21,53,7,4,34,23,9
"190","PGM",152,4,"152_4","SFold",25,25,12,8,40,28,11
"191","PGM",152,5,"152_5","PA",10,33,5,0,1,0,3
"192","PGM",152,6,"152_6","SFold",17,33,10,5,35,32,5
"193","PGM",152,7,"152_7","SFyoung",21,47,4,3,19,11,14
"194","PGM",152,8,"152_8","SFyoung",22,47,10,9,40,24,14
"195","PGM",152,9,"152_9","PA",7,50,3,0,2,0,7
"196","PGM",202,1,"202_1","LBF",25,40,16,15,71,66,5
"197","PGM",202,12,"202_12","PA",9,21,9,0,0,0,1
"198","PGM",202,13,"202_13","LBF",20,46,20,15,55,63,10
"199","PGM",202,14,"202_14","AP",16,36,12,5,18,8,5
"200","PGM",202,2,"202_2","LBF",17,40,10,10,48,33,5
"201","PGM",202,3,"202_3","MA",11,21,5,0,0,0,3
"202","PGM",202,4,"202_4","REF",17,12,8,0,1,1,2
"203","PGM",202,5,"202_5","PA",9,7,6,0,0,0,4
"204","PGM",202,6,"202_6","MA",9,11,6,0,0,0,1
"205","PGM",202,7,"202_7","PA",18,38,9,0,4,1,9
"206","PGM",202,9,"202_9","PA",16,19,7,0,0,0,1
"207","PGM",235,1,"235_1","LF",11,38,17,21,78,58,6
"208","PGM",235,10,"235_10","PA",18,32,10,0,0,0,NA
"209","PGM",235,3,"235_3","LBF",32,38,22,16,57,60,4
"210","PGM",235,4,"235_4","SFold",22,37,19,9,59,47,3
"211","PGM",235,5,"235_5","SFyoung",24,23,17,9,26,10,7
"212","PGM",235,6,"235_6","PA",11,22,9,0,1,1,1
"213","PGM",235,7,"235_7","PA",16,25,9,0,1,0,4
"214","PGM",235,8,"235_8","PA",17,10,13,0,0,0,3
"215","PGM",245,1,"245_1","PA",17,34,5,0,1,0,8
"216","PGM",245,11,"245_11","LBF",31,46,15,9,52,59,15
"217","PGM",245,12,"245_12","PA",14,44,7,0,2,0,6
"218","PGM",245,13,"245_13","PA",14,31,4,0,0,0,3
"219","PGM",245,14,"245_14","PA",20,31,6,0,3,1,3
"220","PGM",245,2,"245_2","LF",29,22,20,13,78,53,4
"221","PGM",245,4,"245_4","LF",32,49,16,14,46,58,4
"222","PGM",245,5,"245_5","LF",16,58,12,11,51,64,12
"223","PGM",245,6,"245_6","LF",22,53,4,13,74,71,6
"224","PGM",245,7,"245_7","SFyoung",46,33,8,9,39,35,9
"225","PGM",245,9,"245_9","LF",46,69,19,20,59,61,6
"226","PGM",269,1,"269_1","LBF",28,45,3,16,58,54,5
"227","PGM",269,10,"269_10","LF",28,42,10,14,57,64,8
"228","PGM",269,11,"269_11","LF",25,48,14,16,75,49,7
"229","PGM",269,12,"269_12","PA",9,16,1,0,0,0,3
"230","PGM",269,13,"269_13","PA",15,22,2,1,3,1,2
"231","PGM",269,14,"269_14","PA",17,17,3,0,0,0,3
"232","PGM",269,15,"269_15","PA",25,37,1,0,1,0,1
"233","PGM",269,2,"269_2","LBF",26,40,3,17,41,43,7
"234","PGM",269,4,"269_4","LF",23,51,11,22,68,59,6
"235","PGM",269,6,"269_6","LBF",33,44,9,10,49,34,7
"236","PGM",269,7,"269_7","LF",32,64,7,7,57,49,6
"237","PGM",269,8,"269_8","LBF",35,75,10,7,70,57,12
"238","PGM",274,1,"274_1","LBF",38,39,15,13,70,56,5
"239","PGM",274,10,"274_10","PA",23,14,5,0,0,0,1
"240","PGM",274,11,"274_11","MA",12,9,3,0,0,0,2
"241","PGM",274,12,"274_12","MA",22,11,8,0,0,0,1
"242","PGM",274,2,"274_2","LBF",36,43,8,15,51,52,5
"243","PGM",274,3,"274_3","LF",36,48,18,23,68,70,6
"244","PGM",274,4,"274_4","LBF",34,49,14,14,52,56,2
"245","PGM",274,6,"274_6","LBF",35,43,18,18,69,61,6
"246","PGM",274,7,"274_7","LBF",27,63,10,14,75,66,2
"247","PGM",274,8,"274_8","LBF",34,41,11,12,53,52,4
"248","PGM",274,9,"274_9","MA",14,11,5,0,0,0,2
"249","PGM",315,1,"315_1","LBF",26,56,27,12,60,43,8
"250","PGM",315,11,"315_11","LBF",29,61,17,6,28,8,6
"251","PGM",315,2,"315_2","SFyoung",28,43,23,1,19,21,11
"252","PGM",315,3,"315_3","LBF",23,62,30,14,83,65,11
"253","PGM",315,4,"315_4","LBF",28,42,30,8,51,36,9
"254","PGM",315,5,"315_5","LBF",22,40,20,1,12,4,7
"255","PGM",315,6,"315_6","MA",7,18,8,0,0,0,3
"256","PGM",315,7,"315_7","PA",17,34,12,0,3,0,8
"257","PGM",315,8,"315_8","PA",12,21,10,0,0,0,2
"258","PGM",315,9,"315_9","MA",16,16,11,0,0,0,6
"259","PGM",342,1,"342_1","LF",25,79,32,12,68,53,5
"260","PGM",342,10,"342_10","SFyoung",15,60,26,10,49,44,4
"261","PGM",342,11,"342_11","SFyoung",23,61,28,12,45,46,10
"262","PGM",342,12,"342_12","SFold",18,39,22,13,40,52,4
"263","PGM",342,2,"342_2","LF",26,61,21,8,63,46,6
"264","PGM",342,3,"342_3","LF",20,51,18,5,58,25,6
"265","PGM",342,4,"342_4","LF",22,60,34,13,69,60,7
"266","PGM",342,5,"342_5","LF",19,53,20,18,69,63,4
"267","PGM",342,6,"342_6","LF",18,65,26,11,82,53,6
"268","PGM",342,7,"342_7","LF",30,44,29,20,63,52,NA
"269","PGM",342,8,"342_8","LF",16,49,27,18,66,52,7
"270","PGM",342,9,"342_9","LBF",12,71,25,15,57,51,10
"271","PGM",358,3,"358_3","REF",12,34,10,0,1,1,2
"272","PGM",358,4,"358_4","LF",34,67,24,24,64,59,16
"273","PGM",358,5,"358_5","LBF",38,35,26,9,59,58,16
"274","PGM",358,6,"358_6","REF",17,13,7,0,1,0,3
"275","PGM",358,7,"358_7","REF",19,23,11,0,1,0,6
"276","PGM",358,9,"358_9","REF",15,17,13,0,1,0,5
"277","PGM",369,1,"369_1","LBF",28,43,20,15,37,36,4
"278","PGM",369,10,"369_10","LF",23,58,18,9,70,58,6
"279","PGM",369,11,"369_11","PA",24,19,10,0,1,0,6
"280","PGM",369,12,"369_12","PA",19,26,10,0,0,0,6
"281","PGM",369,13,"369_13","PA",19,27,14,0,1,0,4
"282","PGM",369,3,"369_3","LF",25,36,25,27,50,50,6
"283","PGM",369,4,"369_4","LF",18,65,22,5,55,40,8
"284","PGM",369,5,"369_5","LBF",23,45,21,21,51,51,3
"285","PGM",369,6,"369_6","LBF",21,49,18,20,37,34,2
"286","PGM",369,7,"369_7","LF",29,45,20,11,82,64,9
"287","PGM",369,8,"369_8","LF",29,45,19,12,67,58,5
"288","PGM",423,1,"423_1","LBF",39,32,10,3,38,21,4
"289","PGM",423,10,"423_10","MA",23,18,4,0,0,0,2
"290","PGM",423,11,"423_11","MA",12,6,3,0,0,0,4
"291","PGM",423,12,"423_12","MA",14,8,10,0,0,0,2
"292","PGM",423,13,"423_13","REF",25,9,4,0,0,1,1
"293","PGM",423,5,"423_5","LBF",37,40,10,3,38,33,3
"294","PGM",423,6,"423_6","LBF",32,46,19,7,42,37,6
"295","PGM",423,7,"423_7","LF",21,64,8,13,59,59,2
"296","PGM",423,8,"423_8","REF",26,14,8,0,1,1,4
"297","PGM",423,9,"423_9","LBF",28,51,5,3,33,21,3
"298","PGM",44,12,"44_12","SFyoung",25,42,10,0,5,0,9
"299","PGM",44,15,"44_15","PA",21,32,9,0,0,1,2
"300","PGM",44,2,"44_2","LBF",31,38,8,14,70,40,5
"301","PGM",44,3,"44_3","PA",26,30,12,0,1,0,4
"302","PGM",44,4,"44_4","LBF",28,74,17,2,46,45,3
"303","PGM",44,5,"44_5","LBF",29,46,10,8,45,44,6
"304","PGM",44,6,"44_6","LBF",30,40,14,9,39,28,10
"305","PGM",44,7,"44_7","PA",16,39,13,0,2,0,5
"306","PGM",44,8,"44_8","PA",12,11,8,0,0,0,6
"307","PGM",44,9,"44_9","SHA",34,37,11,0,4,0,5
"308","PGM",443,1,"443_1","LBF",21,56,10,11,34,52,6
"309","PGM",443,2,"443_2","LF",18,56,12,13,51,62,7
"310","PGM",443,3,"443_3","PA",26,36,2,0,0,0,2
"311","PGM",443,4,"443_4","LF",28,42,4,17,61,56,11
"312","PGM",443,5,"443_5","PA",23,29,5,0,0,0,1
"313","PGM",443,6,"443_6","PA",27,23,2,0,0,0,2
"314","PGM",443,7,"443_7","PA",25,32,1,0,2,0,13
"315","PGM",443,8,"443_8","PA",25,38,5,0,0,0,4
"316","PGM",443,9,"443_9","PA",25,20,4,0,0,0,5
"317","PGM",547,1,"547_1","LF",28,56,10,7,77,58,11
"318","PGM",547,11,"547_11","PA",21,33,5,1,5,0,3
"319","PGM",547,12,"547_12","PA",16,43,5,0,3,1,5
"320","PGM",547,13,"547_13","PA",20,30,3,0,6,0,6
"321","PGM",547,14,"547_14","PA",17,20,4,0,0,0,3
"322","PGM",547,2,"547_2","LF",33,49,8,18,78,63,7
"323","PGM",547,5,"547_5","LF",29,64,3,15,59,46,12
"324","PGM",547,6,"547_6","PA",23,23,7,0,1,0,2
"325","PGM",547,7,"547_7","PA",26,30,5,0,1,0,4
"326","PGM",547,8,"547_8","REF",17,25,4,0,1,0,NA
"327","PGM",547,9,"547_9","PA",18,29,1,0,0,0,6
"328","PGM",549,1,"549_1","UF",29,65,22,23,67,60,7
"329","PGM",549,10,"549_10","UF",37,54,22,17,54,66,NA
"330","PGM",549,11,"549_11","LF",35,44,11,31,99,82,4
"331","PGM",549,12,"549_12","UF",26,54,27,16,72,73,9
"332","PGM",549,2,"549_2","UF",23,53,17,16,46,68,6
"333","PGM",549,3,"549_3","UF",29,58,17,21,71,66,7
"334","PGM",549,4,"549_4","LF",33,63,16,11,66,64,11
"335","PGM",549,5,"549_5","UF",28,55,19,8,62,69,12
"336","PGM",549,6,"549_6","UF",25,46,19,10,56,68,8
"337","PGM",549,7,"549_7","UF",26,45,20,13,57,64,6
"338","PGM",549,8,"549_8","UF",34,30,25,17,42,62,8
"339","PGM",549,9,"549_9","LF",30,45,16,15,80,54,13
